participantID,pNew,pOld,boxesFlipped,absColorDiff,blueFlipped,yellowFlipped,accuracy,discriminationError,boardDifficulty,trialRT,masterTrialID,conditionTrialID,condition,colorSequence,gender,age,education
98,0.979297348,0.894943237,9,5,2,7,1,0,101,7448.7,9,6,low,"[2,1,1,1,1,1,1,2,1]",2,24,7
98,1,1,25,13,6,19,1,0,4,12743.3,19,7,low,"[2,1,1,1,1,1,1,1,1,1,1,2,1,1,1,1,2,2,2,1,1,1,2,1,1]",2,24,7
79,1,1,19,7,6,13,1,0,101,15811,2,1,low,"[2,1,2,1,1,2,1,1,2,1,1,1,1,2,1,1,1,2,1]",2,22,7
79,1,1,16,10,13,3,1,0,7,11138.3,4,2,low,"[2,1,1,2,2,2,2,2,2,2,2,2,2,2,1,2]",2,22,7
79,1,1,16,10,3,13,1,0,6,13256.9,5,3,low,"[1,1,1,2,1,1,1,1,1,2,1,1,1,2,1,1]",2,22,7
79,0.997391304,0.9921875,18,6,12,6,1,0,9,11069.4,6,4,low,"[2,2,2,2,1,2,2,2,1,1,1,1,1,2,2,2,2,2]",2,22,7
79,1,1,17,9,13,4,1,0,3,10150.4,9,5,low,"[2,2,2,2,2,1,2,1,2,1,2,2,2,2,1,2,2]",2,22,7
79,1,1,15,11,2,13,1,0,4,9230.3,15,6,low,"[2,1,1,1,2,1,1,1,1,1,1,1,1,1,1]",2,22,7
79,1,1,18,8,5,13,1,0,8,11966,20,7,low,"[1,1,1,1,1,1,1,2,2,1,1,2,1,2,1,2,1,1]",2,22,7
115,0.999946157,0.999023438,15,9,3,12,1,0,4,25389.3,4,1,low,"[1,1,1,2,1,1,1,1,1,1,1,2,1,1,2]",1,31,6
115,1,1,21,9,15,6,1,0,9,15816.4,7,2,low,"[1,1,2,2,1,2,1,1,1,2,2,2,2,2,2,2,2,2,2,2,2]",1,31,6
115,0.997391304,0.9921875,18,6,6,12,1,0,6,11837.2,8,3,low,"[1,2,1,1,1,1,2,1,1,1,1,1,1,2,2,2,2,1]",1,31,6
115,0.994416476,0.98046875,16,6,5,11,1,0,8,11951.7,14,4,low,"[1,1,1,2,1,1,1,2,1,2,1,2,2,1,1,1]",1,31,6
115,0.997583793,0.971313477,11,7,9,2,1,0,7,7717.6,15,5,low,"[2,2,2,1,1,2,2,2,2,2,2]",1,31,6
115,0.997583793,0.971313477,11,7,9,2,1,0,3,7307.4,17,6,low,"[2,2,2,2,2,2,1,2,1,2,2]",1,31,6
115,0.976410015,0.927001953,13,5,4,9,1,0,101,7864.2,19,7,low,"[1,1,1,1,1,2,2,1,1,1,2,1,2]",1,31,6
71,0.943478261,0.738266468,3,3,0,3,1,0,101,4944.3,1,1,low,"[1,1,1]",1,24,7
71,0.984897025,0.738266468,3,5,0,3,1,0,4,2542.7,4,2,low,"[1,1,1]",1,24,7
71,0.943478261,0.881057739,7,3,6,1,1,0,9,4946.6,5,3,low,"[2,2,1,2,2,2,2]",1,24,7
71,0.991534142,0.953857422,12,6,3,9,1,0,8,5408,8,4,low,"[1,2,1,1,1,2,1,1,1,1,2,1]",1,24,7
71,0.992290349,0.940765381,10,6,2,8,1,0,6,5041.5,9,5,low,"[1,2,1,1,1,2,1,1,1,1]",1,24,7
71,0.99989366,0.993530273,11,9,10,1,1,0,3,4748.1,16,6,low,"[2,2,1,2,2,2,2,2,2,2,2]",1,24,7
71,0.999398689,0.988769531,12,8,10,2,1,0,7,4192.9,17,7,low,"[2,1,1,2,2,2,2,2,2,2,2,2]",1,24,7
