sID,trialNumber,prID,nTotal,true_ratio,fillerTrial,ITI,seen_ratio,nMushrooms,nBlue,nRed,estimate1,estimate1RT,estimate2,estimate2RT,estimate_peer,confidence_peer,traits1,traits2,traits3,s,strategy,sex,age
3,18,,5,0.375,1,1.8,0.4,"1,1,1,1,1","1,1,0,0,0","0,0,1,1,1",40,3.3864,40,7.8534,42,1,,,,0,stay,Female,36
3,19,,45,0.5,0,1.9,0.511111111,"9,9,9,9,9","5,4,5,5,4","4,5,4,4,5",60,6.5009,55,4.1392,44,1,,,,0.3125,compromise,Female,36
3,20,,5,0.75,0,1.6,0.8,"1,1,1,1,1","1,1,0,1,1","0,0,1,0,0",80,5.13,80,2.9307,65,2,,,,0,stay,Female,36
3,21,,45,0.125,1,2,0.133333333,"9,9,9,9,9","0,2,1,2,1","9,7,8,7,8",60,2.7315,60,2.5093,60,2,,,,NA,NA,Female,36
3,22,,45,0.5,0,2,0.511111111,"9,9,9,9,9","4,5,6,4,4","5,4,3,5,5",88,3.5029,88,2.3281,72,3,,,,0,stay,Female,36
3,23,,45,0.25,0,1.6,0.244444444,"9,9,9,9,9","4,2,2,2,1","5,7,7,7,8",22,7.1507,22,3.5937,37,2,,,,0,stay,Female,36
3,24,,45,0.25,1,1.9,0.244444444,"9,9,9,9,9","2,0,2,5,2","7,9,7,4,7",22,2.5024,22,4.5444,20,2,,,,0,stay,Female,36
3,25,,45,0,1,1.9,0,"9,9,9,9,9","0,0,0,0,0","9,9,9,9,9",0,2.1202,0,2.1036,0,3,,,,NA,NA,Female,36
3,26,,45,0.625,0,1.8,0.622222222,"9,9,9,9,9","4,5,6,8,5","5,4,3,1,4",48,8.0837,56,5.027,66,3,,,,0.4444444444444444,compromise,Female,36
3,27,,45,0.75,0,1.6,0.755555556,"9,9,9,9,9","8,8,6,6,6","1,1,3,3,3",67,6.851,73,3.505,83,2,,,,0.375,compromise,Female,36
3,28,,5,0.375,0,1.9,0.4,"1,1,1,1,1","0,0,1,1,0","1,1,0,0,1",20,2.1652,20,2.6251,37,3,,,,0,stay,Female,36
3,29,,5,0.5,0,1.5,0.6,"1,1,1,1,1","1,0,0,1,1","0,1,1,0,0",60,2.4493,60,2.1948,42,2,,,,0,stay,Female,36
3,30,,5,0.125,0,1.5,0.2,"1,1,1,1,1","0,0,0,1,0","1,1,1,0,1",20,3.0034,20,5.3478,2,1,,,,0,stay,Female,36
3,31,,45,0.375,0,1.5,0.377777778,"9,9,9,9,9","2,3,2,6,4","7,6,7,3,5",34,5.0851,34,2.0092,50,3,,,,0,stay,Female,36
3,32,,5,0.625,1,1.5,0.6,"1,1,1,1,1","0,1,0,1,1","1,0,1,0,0",60,7.0007,60,5.7544,4,1,,,,0,stay,Female,36
3,33,,5,0.75,0,1.5,0.8,"1,1,1,1,1","0,1,1,1,1","1,0,0,0,0",80,2.8522,80,7.6368,62,1,,,,0,stay,Female,36
3,34,,5,0.625,0,2,0.6,"1,1,1,1,1","1,0,1,1,0","0,1,0,0,1",80,5.2801,80,1.9605,62,2,,,,0,stay,Female,36
3,35,,45,0.875,1,1.6,0.866666667,"9,9,9,9,9","6,9,9,8,7","3,0,0,1,2",75,3.8974,75,2.3979,73,2,,,,0,stay,Female,36
3,36,,5,0.25,0,1.9,0.2,"1,1,1,1,1","1,0,0,0,0","0,1,1,1,1",80,6.3809,80,1.7456,65,2,,,,0,stay,Female,36
3,37,,45,0.25,0,1.8,0.244444444,"9,9,9,9,9","3,1,1,0,6","6,8,8,9,3",22,5.0807,22,4.8464,37,1,,,,0,stay,Female,36
3,38,,5,0.625,0,2,0.6,"1,1,1,1,1","1,1,1,0,0","0,0,0,1,1",60,3.3609,60,3.1649,78,3,,,,0,stay,Female,36
3,39,,45,0.125,0,1.7,0.133333333,"9,9,9,9,9","1,1,1,0,3","8,8,8,9,6",36,8.8739,36,2.3773,20,1,,,,0,stay,Female,36
3,40,,5,0.5,1,1.8,0.6,"1,1,1,1,1","0,0,1,1,1","1,1,0,0,0",60,3.1489,60,3.0555,3,1,,,,0,stay,Female,36
3,41,,45,1,1,2,1,"9,9,9,9,9","9,9,9,9,9","0,0,0,0,0",100,7.3166,100,4.3777,98,3,,,,0,stay,Female,36
3,42,,45,0.25,0,1.9,0.244444444,"9,9,9,9,9","1,2,3,4,1","8,7,6,5,8",33,5.3471,30,5.1472,15,3,,,,0.16666666666666666,compromise,Female,36
3,43,,5,1,1,1.8,1,"1,1,1,1,1","1,1,1,1,1","0,0,0,0,0",100,1.4661,100,3.1764,100,3,,,,NA,NA,Female,36
3,44,,5,0.5,0,1.9,0.6,"1,1,1,1,1","1,0,1,0,1","0,1,0,1,0",60,3.9355,60,1.8947,44,1,,,,0,stay,Female,36
3,45,,45,0.75,0,1.9,0.755555556,"9,9,9,9,9","8,6,6,7,7","1,3,3,2,2",75,5.7178,70,4.594,60,3,,,,0.3333333333333333,compromise,Female,36
3,46,,5,0,1,1.8,0,"1,1,1,1,1","0,0,0,0,0","1,1,1,1,1",0,1.3451,0,1.1267,0,3,,,,NA,NA,Female,36
