sID,trialNumber,nTotal,true_ratio,fillerTrial,ITI,seen_ratio,nMushrooms,nBlue,nRed,estimate1,estimate1RT,estimate2,estimate2RT,estimate_peer,confidence_peer,s,strategy,sex,age,trial_filter
3,39,45,0.125,0,1.7,0.133333333,"9,9,9,9,9","1,1,1,0,3","8,8,8,9,6",36,8.8739,36,2.3773,20,1,-0,stay,Female,36,1
3,42,45,0.25,0,1.9,0.244444444,"9,9,9,9,9","1,2,3,4,1","8,7,6,5,8",33,5.3471,30,5.1472,15,3,0.16666666666666666,compromise,Female,36,1
3,44,5,0.5,0,1.9,0.6,"1,1,1,1,1","1,0,1,0,1","0,1,0,1,0",60,3.9355,60,1.8947,44,1,-0,stay,Female,36,1
3,45,45,0.75,0,1.9,0.755555556,"9,9,9,9,9","8,6,6,7,7","1,3,3,2,2",75,5.7178,70,4.594,60,3,0.3333333333333333,compromise,Female,36,1
3,47,45,0.125,0,1.7,0.133333333,"9,9,9,9,9","1,1,0,1,3","8,8,9,8,6",20,8.0125,15,6.295,2,2,0.2777777777777778,compromise,Female,36,1
3,48,5,0.875,0,1.6,0.8,"1,1,1,1,1","1,0,1,1,1","0,1,0,0,0",80,4.1435,80,2.4483,97,2,0,stay,Female,36,1
3,49,45,0.625,0,1.6,0.622222222,"9,9,9,9,9","8,5,6,4,5","1,4,3,5,4",56,6.1135,60,2.8979,73,2,0.23529411764705882,compromise,Female,36,1
3,50,5,0.875,0,1.6,0.8,"1,1,1,1,1","1,1,1,0,1","0,0,0,1,0",80,1.4158,80,2.1985,97,1,0,stay,Female,36,1
3,52,45,0.875,0,1.5,0.866666667,"9,9,9,9,9","7,8,7,8,9","2,1,2,1,0",85,7.7495,85,2.6726,100,3,0,stay,Female,36,1
3,53,5,0.625,0,1.6,0.6,"1,1,1,1,1","0,0,1,1,1","1,1,0,0,0",60,3.2864,60,2.5106,75,1,0,stay,Female,36,1
3,54,45,0.75,0,1.8,0.755555556,"9,9,9,9,9","8,5,6,8,7","1,4,3,1,2",90,2.2319,85,5.0468,72,1,0.2777777777777778,compromise,Female,36,1
5,2,45,0.125,0,1.5,0.133333333,"9,9,9,9,9","2,1,1,1,1","7,8,8,8,8",18,3.9526,15,4.4605,0,2,0.16666666666666666,compromise,Male,24,1
5,3,5,0.125,0,1.9,0.2,"1,1,1,1,1","0,0,0,1,0","1,1,1,0,1",20,3.7489,15,2.4157,2,1,0.2777777777777778,compromise,Male,24,1
5,4,45,0.875,0,1.7,0.866666667,"9,9,9,9,9","8,6,8,8,9","1,3,1,1,0",90,3.0497,85,4.3605,74,1,0.3125,compromise,Male,24,1
5,5,45,0.625,0,1.8,0.622222222,"9,9,9,9,9","7,5,8,3,5","2,4,1,6,4",70,2.2681,65,3.8939,55,3,0.3333333333333333,compromise,Male,24,1
5,6,45,0.375,0,1.7,0.377777778,"9,9,9,9,9","3,1,4,4,5","6,8,5,5,4",25,2.183,30,2.8121,40,1,0.3333333333333333,compromise,Male,24,1
5,7,45,0.25,0,1.7,0.244444444,"9,9,9,9,9","2,1,1,2,5","7,8,8,7,4",15,1.433,18,2.0263,32,1,0.17647058823529413,compromise,Male,24,1
5,9,45,0.375,0,1.9,0.377777778,"9,9,9,9,9","5,1,0,5,6","4,8,9,4,3",18,3.249,25,2.863,33,2,0.4666666666666667,compromise,Male,24,1
5,10,5,0.25,0,1.9,0.2,"1,1,1,1,1","0,0,0,1,0","1,1,1,0,1",20,3.6827,20,2.3794,35,3,0,stay,Male,24,1
5,11,45,0.75,0,1.8,0.755555556,"9,9,9,9,9","6,8,6,8,6","3,1,3,1,3",80,3.3995,75,2.2293,65,3,0.3333333333333333,compromise,Male,24,1
5,13,5,0.875,0,1.9,0.8,"1,1,1,1,1","0,1,1,1,1","1,0,0,0,0",100,1.5659,95,4.1285,82,1,0.2777777777777778,compromise,Male,24,1
5,14,45,0.125,0,1.9,0.133333333,"9,9,9,9,9","0,0,1,2,3","9,9,8,7,6",15,5.6991,15,3.5628,0,3,-0,stay,Male,24,1
5,16,45,0.5,0,1.7,0.511111111,"9,9,9,9,9","5,4,6,4,4","4,5,3,5,5",55,2.333,50,1.6962,40,1,0.3333333333333333,compromise,Male,24,1
5,17,45,0.125,0,1.5,0.133333333,"9,9,9,9,9","1,1,0,3,1","8,8,9,6,8",18,6.0158,12,1.8452,2,1,0.375,compromise,Male,24,1
5,18,5,0.375,0,1.7,0.4,"1,1,1,1,1","0,0,1,1,0","1,1,0,0,1",45,2.3852,40,2.2609,30,2,0.3333333333333333,compromise,Male,24,1
5,19,45,0.5,0,1.5,0.511111111,"9,9,9,9,9","6,5,3,4,5","3,4,6,5,4",45,3.1163,50,2.1121,60,2,0.3333333333333333,compromise,Male,24,1
5,20,5,0.875,0,1.7,0.8,"1,1,1,1,1","0,1,1,1,1","1,0,0,0,0",75,1.7994,80,2.3299,90,2,0.3333333333333333,compromise,Male,24,1
5,21,5,0.125,0,1.7,0.2,"1,1,1,1,1","0,0,0,1,0","1,1,1,0,1",15,1.6686,15,2.8446,0,3,-0,stay,Male,24,1
5,22,45,0.75,0,2,0.755555556,"9,9,9,9,9","6,8,7,7,6","3,1,2,2,3",78,2.1322,75,1.8629,60,1,0.16666666666666666,compromise,Male,24,1
5,23,5,0.75,0,1.7,0.8,"1,1,1,1,1","1,1,0,1,1","0,0,1,0,0",75,2.1162,85,3.1817,92,1,0.5882352941176471,compromise,Male,24,1
5,24,5,0.875,0,2,0.8,"1,1,1,1,1","1,1,0,1,1","0,0,1,0,0",85,1.5155,85,2.5629,100,3,0,stay,Male,24,1
5,25,5,0.5,0,1.8,0.6,"1,1,1,1,1","0,1,0,1,1","1,0,1,0,0",65,3.3823,65,1.715,50,1,-0,stay,Male,24,1
5,27,5,0.25,0,1.9,0.2,"1,1,1,1,1","0,0,0,1,0","1,1,1,0,1",15,0.835,20,1.5608,30,2,0.3333333333333333,compromise,Male,24,1
5,28,45,0.25,0,1.6,0.244444444,"9,9,9,9,9","2,1,2,4,2","7,8,7,5,7",22,2.8828,24,2.0795,40,3,0.1111111111111111,compromise,Male,24,1
5,29,5,0.625,0,1.5,0.6,"1,1,1,1,1","0,0,1,1,1","1,1,0,0,0",60,2.2161,65,2.1626,75,1,0.3333333333333333,compromise,Male,24,1
5,30,5,0.75,0,1.7,0.8,"1,1,1,1,1","1,1,1,0,1","0,0,0,1,0",85,2.6501,75,4.5107,69,3,0.625,compromise,Male,24,1
5,31,5,0.625,0,1.8,0.6,"1,1,1,1,1","0,1,1,0,1","1,0,0,1,0",60,1.9162,65,5.0619,76,2,0.3125,compromise,Male,24,1
5,32,45,0.5,0,1.9,0.511111111,"9,9,9,9,9","5,5,7,4,2","4,4,2,5,7",70,2.2155,65,3.7176,55,3,0.3333333333333333,compromise,Male,24,1
5,36,5,0.5,0,2,0.6,"1,1,1,1,1","1,1,0,0,1","0,0,1,1,0",55,1.2497,50,2.8963,40,3,0.3333333333333333,compromise,Male,24,1
5,37,45,0.25,0,1.6,0.244444444,"9,9,9,9,9","1,5,2,0,3","8,4,7,9,6",25,5.9661,30,1.4457,41,2,0.3125,compromise,Male,24,1
5,38,5,0.625,0,1.5,0.6,"1,1,1,1,1","1,1,0,1,0","0,0,1,0,1",60,1.866,70,3.0291,75,3,0.6666666666666666,compromise,Male,24,1
5,39,45,0.875,0,1.5,0.866666667,"9,9,9,9,9","8,6,8,8,9","1,3,1,1,0",80,0.7162,95,2.1959,97,2,0.8823529411764706,compromise,Male,24,1
5,40,5,0.5,0,1.6,0.6,"1,1,1,1,1","1,0,0,1,1","0,1,1,0,0",60,0.7331,50,1.4632,45,2,0.6666666666666666,compromise,Male,24,1
5,42,5,0.75,0,1.7,0.8,"1,1,1,1,1","1,1,1,0,1","0,0,0,1,0",80,1.0661,75,1.9297,65,2,0.3333333333333333,compromise,Male,24,1
5,43,5,0.375,0,1.8,0.4,"1,1,1,1,1","1,0,0,1,0","0,1,1,0,1",40,1.2162,30,1.8627,24,3,0.625,compromise,Male,24,1
5,44,5,0.25,0,2,0.2,"1,1,1,1,1","0,0,0,1,0","1,1,1,0,1",40,2.7493,35,3.3792,25,1,0.3333333333333333,compromise,Male,24,1
